student_id,full_name,gender,major,overall_average_score,overall_attendance_percentage,course_count,failed_courses
8466,Dinithi Peiris,Female,Biology,92.18,70.07,20,0
8371,Ayesh Ranatunga,Male,Biology,92.18,68.92,21,0
10099,Sanduni Ranatunga,Female,Biology,92.17,73.65,20,0
9945,Dinithi Rajapaksha,Female,Mathematics,92.16,73.64,20,0
4973,Amal Rajapaksha,Male,Biology,92.16,69.33,21,0
4307,Kasun Jayasinghe,Male,Physics,92.16,69.29,21,0
2026,Willie Smith,Male,Biology,92.15,75.62,17,0
8801,Rashmi Senanayake,Female,Biology,92.15,72.89,23,0
10251,Sashini Peiris,Female,Physics,92.15,69.05,24,0
10024,Ayesh Perera,Male,Biology,92.14,69.54,21,0
10653,Dinithi Senanayake,Female,Mathematics,92.14,67.19,17,0
10439,Sahan Jayasinghe,Male,Physics,92.13,73.92,21,0
6148,Nimal Herath,Male,Biology,92.12,67.05,22,0
2639,Christopher Simmons,Male,Physics,92.11,76.52,20,0
2274,Elizabeth Jackson,Female,Biology,92.11,72.14,18,0
4583,Lahiru Madushanka,Male,Physics,92.1,71.52,20,0
10033,Nadeesha Wijesinghe,Female,Mathematics,92.08,70.49,20,0
1784,Jonathan Montgomery,Female,Computer Science,92.08,66.05,23,0
9990,Dinithi Ekanayake,Female,Physics,92.06,75.63,20,0
2579,Jenna Wilson,Male,Mathematics,92.06,70.53,21,0
8969,Tharushi Peiris,Female,Physics,92.05,74.13,20,0
6060,Chamara Senanayake,Male,Physics,92.05,70.9,20,0
4712,Dinithi Fernando,Female,Physics,92.05,69.45,18,0
4095,Supun Gunawardena,Male,Computer Science,92.05,66.58,24,0
3268,Naveen Abeysekera,Male,Biology,92.04,75.71,21,0
4396,Madhavi Jayasinghe,Female,Mathematics,92.04,68.66,23,0
7494,Madhavi Wijesinghe,Female,Physics,92.03,70.42,19,0
10788,Madhavi Senanayake,Female,Mathematics,92.02,60.85,16,0
6682,Dilini Ekanayake,Female,Physics,92.01,69.1,20,0
5338,Lahiru Silva,Male,Computer Science,92.01,68.75,21,0
7856,Kusal Senanayake,Male,Computer Science,91.99,74.3,25,0
8780,Rashmi Ranatunga,Female,Mathematics,91.99,73.31,16,0
6121,Dilini Dias,Female,Biology,91.99,72.8,21,0
8822,Rashmi Perera,Female,Mathematics,91.99,72.01,18,0
4780,Nethmi Herath,Female,Mathematics,91.99,63.02,19,0
3773,Ishara Abeysekera,Male,Physics,91.98,73.09,19,0
2119,Sarah Lee,Female,Biology,91.97,72.53,22,0
6711,Dilan Silva,Male,Biology,91.96,68.57,23,0
2763,Eric Carpenter,Female,Computer Science,91.95,67.52,20,0
4183,Nimal Ranatunga,Male,Biology,91.94,75.11,21,0
2572,Joshua Garcia,Female,Computer Science,91.94,67.76,18,0
4698,Ishani Ekanayake,Female,Physics,91.93,75.96,25,0
2047,Kevin Stewart,Male,Physics,91.92,68.74,26,0
7835,Kasun Silva,Male,Mathematics,91.92,65.98,16,0
3274,Madhavi Silva,Female,Biology,91.91,70.43,20,0
4641,Hiruni Wijesinghe,Female,Biology,91.91,70.27,15,0
8684,Madhavi Silva,Female,Computer Science,91.91,68.53,22,0
2693,Danny Wilson,Female,Physics,91.9,72.76,21,0
7730,Madhavi Herath,Female,Mathematics,91.89,75.82,20,0
8092,Kasun Dias,Male,Biology,91.89,71.69,24,0
6093,Hiruni Abeysekera,Female,Mathematics,91.88,75.09,23,0
7393,Kusal Senanayake,Male,Mathematics,91.86,76.69,22,0
1233,Sandra Tyler,Female,Computer Science,91.86,73.84,19,0
6228,Chamara Ranatunga,Male,Biology,91.86,68.21,18,0
4795,Tharindu Ranatunga,Male,Biology,91.85,72.52,23,0
5009,Chamara Madushanka,Male,Biology,91.84,73.19,20,0
10620,Dilan Peiris,Male,Biology,91.84,71.34,20,0
9153,Shehan Madushanka,Male,Computer Science,91.83,74.69,24,0
3409,Dinithi Abeysekera,Female,Physics,91.82,73.45,20,0
3568,Ayesh Perera,Male,Computer Science,91.82,68.6,17,0
1616,Julian Walter,Female,Physics,91.81,77.12,20,0
6666,Naveen Wijesinghe,Male,Physics,91.81,73.06,18,0
4579,Hiruni Jayasinghe,Female,Physics,91.81,68.12,23,0
9273,Tharushi Peiris,Female,Biology,91.81,68.07,22,0
10487,Dilan Perera,Male,Mathematics,91.8,72.91,19,0
10038,Tharushi Jayasinghe,Female,Physics,91.8,72.41,20,0
9675,Kasun Madushanka,Male,Computer Science,91.8,70.59,20,0
5424,Madhavi Perera,Female,Mathematics,91.8,64.23,18,0
7802,Ishani Gunawardena,Female,Mathematics,91.79,68.12,19,0
2712,Cheryl Graham,Female,Physics,91.77,75.54,21,0
4632,Amandi Senanayake,Female,Mathematics,91.77,74.85,21,0
2376,Loretta Lewis,Male,Biology,91.77,72.48,18,0
6613,Nadeesha Abeysekera,Female,Mathematics,91.77,68.49,20,0
2741,Steven Hall,Female,Physics,91.77,67.05,19,0
4892,Chamara Abeysekera,Male,Mathematics,91.76,71.87,22,0
9555,Sahan Abeysekera,Male,Physics,91.75,71.45,18,0
3912,Lahiru Ekanayake,Male,Biology,91.75,70.25,18,0
8579,Nimal Madushanka,Male,Computer Science,91.74,78.35,22,0
3051,Madhavi Rajapaksha,Female,Mathematics,91.73,76.06,20,0
3538,Hiruni Fernando,Female,Mathematics,91.73,75.77,20,0
9821,Lahiru Perera,Male,Biology,91.73,70.29,20,0
7210,Ayesh Peiris,Male,Biology,91.73,69.03,20,0
5321,Ayesh Rajapaksha,Male,Computer Science,91.73,67.23,24,0
5839,Rashmi Wijesinghe,Female,Mathematics,91.72,66.44,19,0
8482,Lahiru Rajapaksha,Male,Biology,91.71,76.95,23,0
8263,Chamara Silva,Male,Biology,91.71,72.83,16,0
6624,Sahan Jayasinghe,Male,Mathematics,91.71,70.32,21,0
2719,Taylor Hunter,Female,Mathematics,91.7,70.86,20,0
9491,Ishani Herath,Female,Computer Science,91.7,68.1,20,0
8633,Naveen Fernando,Male,Biology,91.69,72.58,18,0
5538,Kavindi Peiris,Female,Computer Science,91.69,67.41,21,0
4085,Nadeesha Senanayake,Female,Physics,91.68,72.88,23,0
9199,Kusal Senanayake,Male,Physics,91.68,72.8,26,0
10692,Dilini Ekanayake,Female,Computer Science,91.68,72.27,26,0
8030,Kavindi Herath,Female,Mathematics,91.68,69.63,19,0
6801,Ayesh Rajapaksha,Male,Mathematics,91.67,73.83,21,0
9363,Shehan Ranatunga,Male,Biology,91.66,77.57,23,0
8502,Supun Perera,Male,Mathematics,91.66,72.66,19,0
1281,Lindsay Garcia,Female,Physics,91.65,72.2,21,0
6727,Hiruni Gunawardena,Female,Biology,91.64,75.69,27,0
1979,Sherry Johnson,Female,Physics,91.64,70.37,20,0
4552,Tharindu Wijesinghe,Male,Physics,91.64,66.41,18,0
10928,Kusal Rajapaksha,Male,Computer Science,91.63,74.21,18,0
7627,Shehan Senanayake,Male,Biology,91.62,70.13,24,0
1997,Robert Ramos,Male,Mathematics,91.61,74.3,17,0
8323,Kusal Ekanayake,Male,Computer Science,91.61,70.64,19,0
3236,Dilan Silva,Male,Computer Science,91.61,68.16,25,0
5340,Kasun Dias,Male,Computer Science,91.61,66.91,19,0
6223,Sahan Madushanka,Male,Biology,91.59,73.08,17,0
4656,Kusal Abeysekera,Male,Mathematics,91.59,68.75,19,0
6151,Tharindu Jayasinghe,Male,Biology,91.58,78.46,18,0
6208,Shehan Jayasinghe,Male,Biology,91.58,74.32,24,0
9917,Ishani Ekanayake,Female,Biology,91.58,72.75,20,0
10978,Ishara Herath,Male,Mathematics,91.58,70.83,22,0
2423,Kristen Hernandez,Female,Physics,91.57,73.31,20,0
1826,Nicholas Terry,Female,Biology,91.57,70.9,20,0
8830,Supun Ranatunga,Male,Biology,91.57,70.87,20,0
2060,Dorothy Jackson,Female,Mathematics,91.56,74.81,21,0
5888,Dilan Fernando,Male,Computer Science,91.56,72.69,23,0
2442,Mikayla Cooley,Male,Biology,91.56,68.1,19,0
7952,Nimal Ranatunga,Male,Physics,91.56,66.73,16,0
7212,Piumi Gunawardena,Female,Biology,91.56,65.27,21,0
1538,Susan Daniels,Male,Biology,91.55,70.62,25,0
6355,Nimal Jayasinghe,Male,Computer Science,91.54,73.84,22,0
7998,Piumi Senanayake,Female,Mathematics,91.54,71.09,18,0
1684,Sophia Gay,Female,Biology,91.54,70.28,15,0
10271,Amal Fernando,Male,Physics,91.54,67.1,19,0
9352,Ravindu Jayasinghe,Male,Computer Science,91.53,71.73,21,0
8712,Tharindu Jayasinghe,Male,Mathematics,91.53,65.06,19,0
2843,Jessica Kerr,Female,Biology,91.52,71.78,24,0
4371,Piumi Ranatunga,Female,Mathematics,91.51,71.99,22,0
6528,Supun Rajapaksha,Male,Physics,91.51,71.47,20,0
8563,Piumi Dias,Female,Biology,91.51,70.23,20,0
2519,Megan Foster,Female,Biology,91.51,69.42,20,0
6067,Shehan Dias,Male,Mathematics,91.5,73.78,20,0
5088,Amal Dias,Male,Biology,91.5,70.71,19,0
9283,Tharindu Silva,Male,Physics,91.47,75.11,22,0
6646,Ishani Fernando,Female,Computer Science,91.46,70.92,19,0
6081,Nethmi Ekanayake,Female,Biology,91.46,70.14,20,0
4077,Dinithi Herath,Female,Biology,91.44,74.03,22,0
4561,Shehan Herath,Male,Physics,91.44,73.54,20,0
7895,Naveen Madushanka,Male,Mathematics,91.44,72.46,16,0
1156,Sean West,Male,Biology,91.44,68.9,20,0
3971,Shehan Jayasinghe,Male,Computer Science,91.44,65.75,21,0
2826,Charles Holmes,Female,Physics,91.43,73.4,19,0
1637,Manuel Werner,Male,Biology,91.43,71.82,22,0
1940,Rachel Gardner,Female,Mathematics,91.42,77.75,25,0
2138,Justin Whitehead,Male,Physics,91.42,72.97,23,0
1283,Lynn Nelson,Female,Physics,91.42,72.24,19,0
9485,Dinithi Gunawardena,Female,Physics,91.42,71.99,18,0
4172,Amal Perera,Male,Biology,91.42,71.77,23,0
8881,Sahan Rajapaksha,Male,Mathematics,91.42,68.24,21,0
1893,Wendy Casey,Male,Mathematics,91.41,76.98,25,0
10832,Rashmi Ranatunga,Female,Biology,91.41,71.56,21,0
4409,Rashmi Gunawardena,Female,Biology,91.41,68.54,24,0
1873,Willie Patel,Female,Biology,91.4,72.37,22,0
5765,Supun Ekanayake,Male,Computer Science,91.4,68.27,18,0
3201,Nethmi Gunawardena,Female,Biology,91.38,72.85,22,0
9018,Supun Abeysekera,Male,Biology,91.38,64.5,19,0
5202,Kasun Wijesinghe,Male,Physics,91.36,76.86,19,0
8683,Sachini Jayasinghe,Female,Computer Science,91.36,66.92,18,0
2333,Tony Leonard,Male,Physics,91.35,72.35,21,0
9788,Piumi Jayasinghe,Female,Biology,91.34,73.32,21,0
6271,Dilini Rajapaksha,Female,Physics,91.33,74.4,23,0
8695,Tharushi Senanayake,Female,Computer Science,91.33,70.98,17,0
6330,Supun Perera,Male,Physics,91.32,75.57,20,0
5014,Kavindi Dias,Female,Mathematics,91.32,70.56,19,0
5519,Nadeesha Madushanka,Female,Mathematics,91.31,76.35,20,0
8743,Kasun Fernando,Male,Biology,91.31,72.99,19,0
9840,Rashmi Herath,Female,Computer Science,91.31,72.72,24,0
1935,Nichole Robertson,Male,Biology,91.31,72.31,24,0
6756,Chamara Senanayake,Male,Computer Science,91.31,72.06,22,0
6694,Supun Wijesinghe,Male,Computer Science,91.31,72.0,20,0
6100,Amandi Jayasinghe,Female,Mathematics,91.29,74.21,20,0
9193,Nethmi Senanayake,Female,Biology,91.29,70.07,20,0
6903,Rashmi Senanayake,Female,Computer Science,91.29,66.34,22,0
3665,Amandi Herath,Female,Physics,91.28,76.51,23,0
10079,Ishani Ranatunga,Female,Computer Science,91.28,74.77,17,0
4463,Dilini Dias,Female,Biology,91.28,61.75,21,0
2726,Hayley Evans,Female,Biology,91.27,73.01,21,0
3463,Sachini Perera,Female,Physics,91.27,68.79,25,0
9026,Dinithi Ekanayake,Female,Biology,91.26,76.41,24,0
10820,Kavindi Wijesinghe,Female,Physics,91.26,72.06,24,0
9819,Kasun Perera,Male,Mathematics,91.26,66.32,22,0
4543,Supun Fernando,Male,Biology,91.25,75.38,18,0
5308,Supun Herath,Male,Biology,91.25,73.83,19,0
2257,Alexandra Cameron,Female,Physics,91.25,73.37,19,0
6406,Sahan Silva,Male,Mathematics,91.24,68.76,18,0
3222,Dilini Rajapaksha,Female,Physics,91.23,74.26,18,0
10144,Kasun Jayasinghe,Male,Computer Science,91.23,73.55,25,0
6883,Ishara Herath,Male,Mathematics,91.23,72.6,21,0
8694,Dinithi Herath,Female,Biology,91.23,71.06,20,0
9229,Shehan Abeysekera,Male,Mathematics,91.23,65.24,18,0
2867,Jeffrey James,Female,Physics,91.22,73.02,22,0
10464,Kusal Perera,Male,Biology,91.21,65.17,22,0
6515,Tharindu Rajapaksha,Male,Mathematics,91.2,68.87,17,0
8926,Dinithi Madushanka,Female,Computer Science,91.2,64.67,17,0
10964,Chamara Abeysekera,Male,Mathematics,91.19,73.06,21,0
9366,Nethmi Jayasinghe,Female,Computer Science,91.19,68.94,20,0
2688,Mark Sanchez,Female,Physics,91.18,67.45,18,0
5294,Dilini Gunawardena,Female,Biology,91.17,76.91,20,0
10665,Sachini Ekanayake,Female,Physics,91.17,75.16,21,0
1717,John Bowman,Male,Mathematics,91.17,73.45,21,0
1379,Amy Carr,Female,Mathematics,91.17,72.87,21,0
6729,Naveen Ekanayake,Male,Computer Science,91.16,66.9,24,0
5766,Amal Rajapaksha,Male,Mathematics,91.15,69.99,19,0
2540,Mary Larson,Male,Mathematics,91.15,68.6,20,0
8431,Sanduni Peiris,Female,Physics,91.13,75.8,20,0
9293,Ishani Madushanka,Female,Physics,91.13,68.83,21,0
10865,Sachini Silva,Female,Mathematics,91.11,70.07,20,0
1361,Joel Molina,Male,Biology,91.11,68.96,26,0
3284,Ishani Madushanka,Female,Computer Science,91.1,71.74,24,0
4517,Ishara Ranatunga,Male,Physics,91.1,71.17,21,0
3504,Dilan Ranatunga,Male,Computer Science,91.1,71.12,23,0
5780,Piumi Madushanka,Female,Computer Science,91.1,70.44,21,0
4980,Naveen Senanayake,Male,Mathematics,91.09,75.01,20,0
1403,Jonathan Prince,Female,Biology,91.09,71.0,21,0
9182,Ravindu Silva,Male,Biology,91.09,62.19,19,0
2670,Daniel Miller,Female,Biology,91.08,71.68,21,0
1348,Michelle Baker,Male,Mathematics,91.08,71.11,19,0
6781,Dinithi Dias,Female,Physics,91.07,73.08,21,0
10339,Ayesh Ekanayake,Male,Computer Science,91.07,70.01,21,0
10810,Nimal Rajapaksha,Male,Physics,91.06,73.3,23,0
1634,Angela Espinoza,Female,Physics,91.06,72.1,19,0
4008,Lahiru Ranatunga,Male,Physics,91.06,71.5,19,0
1760,Stacy Robertson,Male,Computer Science,91.05,73.73,19,0
