StudentID,FirstName,LastName,Gender,DateOfBirth,Major,GPA
1121,Eric,Briggs,Female,2005-10-22,Mathematics,2.58
1122,Steven,Moore,Female,1999-10-07,Computer Science,3.62
1123,Danielle,Morris,Female,1997-01-25,Biology,2.28
1124,Tina,Taylor,Female,1992-10-22,Physics,3.6
1125,Leslie,Hernandez,Male,1991-05-23,Computer Science,2.53
1126,Robert,Mitchell,Male,1998-04-04,Computer Science,2.99
1127,Joseph,Davis,Male,1996-03-18,Biology,2.99
1128,Isaac,Miles,Female,1992-09-14,Biology,2.46
1129,Edward,Murphy,Male,2000-11-17,Computer Science,2.31
1130,Maria,Lopez,Male,1996-10-04,Biology,3.61
1131,Amanda,Wright,Male,2005-08-11,Computer Science,2.28
1132,Michael,Cardenas,Male,1997-10-25,Mathematics,2.74
1133,Timothy,Colon,Female,1991-06-03,Physics,3.08
1134,Laura,Noble,Male,1990-10-08,Biology,2.72
1135,Christine,Padilla,Female,2001-04-15,Computer Science,2.0
1136,David,Green,Male,2004-11-16,Computer Science,2.1
1137,Jessica,Hunter,Female,1995-10-28,Physics,3.19
1138,Tara,Brown,Female,1997-12-26,Mathematics,2.78
1139,Brian,Hughes,Male,1994-12-05,Biology,2.7
1140,Duane,Adkins,Male,1995-05-21,Computer Science,2.34
1141,Emily,Harmon,Female,1994-01-20,Biology,3.18
1142,Rachel,Clark,Male,1993-04-30,Mathematics,3.15
1143,Kelli,Moore,Female,1998-04-10,Computer Science,2.24
1144,Alexis,Horton,Female,2003-11-01,Mathematics,3.09
1145,Bryan,Preston,Male,2003-11-29,Physics,3.06
1146,Randall,Santiago,Female,2004-04-12,Computer Science,2.76
1147,Michelle,Patterson,Male,2005-12-18,Mathematics,2.47
1148,Donna,Mccoy,Female,2004-09-26,Biology,3.34
1149,Larry,Cooper,Female,1991-02-02,Physics,2.9
1150,Jesse,Sanders,Male,1997-01-21,Biology,2.96
1151,Dean,Duncan,Female,1999-07-19,Physics,3.45
1152,Cristina,Rios,Male,2004-06-10,Biology,2.9
1153,Debra,Stephenson,Female,1999-04-09,Physics,3.02
1154,Cindy,Stone,Male,1990-12-08,Biology,2.49
1155,Jason,Hull,Female,1991-06-05,Biology,3.06
1156,Sean,West,Male,1990-11-15,Biology,3.86
1157,Amy,Gallagher,Male,1991-03-26,Biology,2.39
1158,Kimberly,Rogers,Male,1992-06-27,Biology,2.08
1159,Joshua,Walker,Male,1990-10-12,Physics,2.17
1160,Donna,Chan,Male,2001-02-03,Biology,3.1
1161,Ruben,Ayala,Female,1996-02-04,Physics,2.64
1162,Nicole,Hunter,Female,1992-03-15,Physics,2.0
1163,Richard,Watts,Male,2005-04-30,Computer Science,3.87
1164,Jenna,Harding,Female,1994-11-28,Computer Science,2.86
1165,David,Turner,Female,1990-11-25,Mathematics,2.75
1166,Erika,Cohen,Female,1996-04-09,Mathematics,2.0
1167,Gregory,Lawson,Male,2005-12-08,Computer Science,2.88
1168,David,Diaz,Female,1993-06-19,Computer Science,2.05
1169,Jodi,Duran,Female,1996-05-28,Physics,2.04
1170,Robert,Maddox,Female,1999-10-26,Computer Science,2.73
1171,Beth,Stevens,Male,1995-04-09,Physics,2.98
1172,Julia,Lopez,Male,2001-06-07,Biology,3.28
1173,Jerry,Nichols,Female,2004-03-08,Biology,3.1
1174,Joseph,Mendoza,Female,2003-09-13,Biology,3.38
1175,Timothy,Evans,Male,1996-08-16,Physics,4.0
1176,James,Hoffman,Female,2005-07-29,Biology,2.0
1177,Michael,Sampson,Female,1991-03-31,Physics,2.32
1178,Jeffrey,Peterson,Female,1999-03-19,Biology,2.53
1179,Adrian,Cole,Female,1995-08-25,Biology,3.45
1180,Theresa,Roberts,Female,1997-09-19,Mathematics,2.15
1181,Jessica,Diaz,Male,1991-08-28,Biology,2.72
1182,Martin,Perkins,Female,2004-01-27,Computer Science,2.52
1183,Bianca,Dawson,Male,1992-10-09,Biology,3.11
1184,Alan,Peterson,Female,1995-08-10,Mathematics,2.3
1185,Heather,Gonzalez,Male,2000-12-27,Computer Science,3.46
1186,Sonia,Brown,Male,2003-06-28,Mathematics,2.56
1187,Sarah,Wallace,Male,1992-08-15,Biology,3.16
1188,Michael,Hall,Male,2003-02-10,Mathematics,2.0
1189,Robert,Joyce,Male,1998-11-28,Computer Science,2.96
1190,Anthony,Miller,Female,1994-11-09,Computer Science,2.0
1191,Jose,Ortiz,Male,2001-08-08,Physics,4.0
1192,Gabriel,Garcia,Female,2004-04-13,Computer Science,2.4
1193,Tasha,Vance,Female,2004-11-09,Mathematics,2.58
1194,Scott,Greene,Female,2003-08-22,Computer Science,2.7
1195,Melissa,Small,Female,1996-11-20,Biology,3.56
1196,Miguel,Wade,Male,2001-05-16,Physics,2.89
1197,Sheri,King,Male,1997-07-24,Mathematics,3.26
1198,Jack,Mueller,Female,1992-08-14,Biology,3.21
1199,Jeremy,Lawrence,Female,2001-04-16,Mathematics,3.97
1200,Ryan,Perry,Male,1991-12-04,Physics,2.43
1201,Jason,Kane,Female,2002-07-29,Mathematics,2.14
1202,Ashley,Patterson,Female,1997-01-06,Physics,3.1
1203,Krystal,Mckinney,Female,2005-11-21,Biology,3.0
1204,Debra,Singh,Female,1994-11-19,Computer Science,2.04
1205,Deborah,Hall,Male,2005-06-26,Biology,2.4
1206,Nicholas,Rose,Female,2004-11-14,Computer Science,2.0
1207,Charles,Gonzalez,Male,1999-03-24,Computer Science,2.94
1208,Bob,Gonzalez,Male,1998-02-24,Biology,3.29
1209,Michelle,Williams,Male,2005-03-10,Mathematics,3.1
1210,Jason,Foster,Male,1994-02-25,Computer Science,2.8
1211,John,Duarte,Female,2004-04-24,Physics,3.71
1212,James,Pruitt,Female,2001-07-12,Biology,3.18
1213,April,Boyle,Male,2001-01-09,Physics,3.37
1214,Kristen,Houston,Male,1991-08-01,Biology,3.2
1215,Wendy,Fowler,Female,2002-05-01,Mathematics,2.0
1216,Sean,Bryant,Female,1990-04-24,Biology,3.0
1217,Dawn,Parks,Male,1996-10-28,Mathematics,3.86
1218,William,Davis,Male,2001-11-23,Mathematics,2.61
1219,Anthony,Massey,Male,1990-01-19,Physics,2.59
1220,Tiffany,Smith,Male,2001-07-12,Biology,2.99
1221,Charles,Baxter,Male,2001-08-04,Mathematics,3.03
1222,Douglas,Hoffman,Female,2000-07-20,Physics,2.38
1223,Anthony,Garcia,Female,1993-10-08,Physics,3.28
1224,Ronald,Mathis,Female,1995-10-06,Physics,3.19
1225,Kimberly,Wilkins,Female,2000-07-06,Biology,3.8
1226,Ashley,Little,Male,1992-12-24,Physics,3.16
1227,Brittany,Medina,Male,2003-09-08,Physics,3.49
1228,Christian,Mills,Female,1999-08-23,Computer Science,2.65
1229,April,Chandler,Male,1993-11-02,Mathematics,2.63
1230,Barbara,Sandoval,Male,1996-03-26,Biology,2.98
1231,William,Hall,Male,1994-07-22,Mathematics,3.08
1232,Timothy,Payne,Female,2002-08-02,Computer Science,2.51
1233,Sandra,Tyler,Female,2002-01-02,Computer Science,4.0
1234,Stacie,Fox,Male,1991-01-19,Computer Science,3.36
1235,Christine,Delgado,Female,1999-09-26,Biology,4.0
1236,Patrick,Lara,Female,1991-04-15,Physics,2.31
1237,Amy,Soto,Male,2003-06-12,Mathematics,2.22
1238,James,Walker,Female,1995-03-12,Physics,2.64
1239,Nicholas,Weaver,Female,1991-09-06,Biology,3.3
1240,Jacqueline,Gomez,Female,1992-07-02,Computer Science,2.91
1241,Gina,Murray,Female,1999-09-27,Mathematics,2.94
1242,Amber,Hensley,Male,1996-11-03,Physics,2.54
1243,Alexandria,Bailey,Female,1992-10-27,Biology,3.26
1244,Kevin,Rush,Female,1994-11-29,Computer Science,2.67
1245,Cody,Thomas,Male,2005-02-04,Physics,2.54
1246,Ralph,Orozco,Male,1990-01-25,Mathematics,3.04
1247,Cynthia,Robbins,Female,1991-01-19,Biology,3.16
1248,Anthony,Keller,Female,1997-08-05,Mathematics,3.12
1249,Nancy,Wallace,Female,1994-02-28,Computer Science,2.98
1250,Tanya,Lee,Male,1996-07-03,Computer Science,2.39
1251,Heather,Nelson,Male,1999-05-15,Physics,3.26
1252,James,Harris,Male,2005-11-18,Physics,3.0
1253,Douglas,Cox,Male,2000-07-30,Physics,2.63
1254,Laura,Griffith,Female,2001-03-29,Biology,3.16
1255,Marc,Wilkins,Male,2000-12-14,Biology,2.7
1256,Erik,Oliver,Female,2005-04-16,Biology,2.48
1257,Joseph,Schwartz,Female,1995-10-31,Computer Science,2.16
1258,Devin,Richardson,Male,1992-06-14,Mathematics,2.0
1259,Michael,Santiago,Male,2004-02-24,Computer Science,2.04
1260,Heather,Williams,Male,1996-06-27,Computer Science,3.26
1261,Elizabeth,Wall,Male,1993-03-06,Computer Science,2.79
1262,Lori,Fleming,Male,1992-01-02,Computer Science,3.24
1263,Jesse,Hall,Male,1993-09-28,Mathematics,2.81
1264,Stephanie,Keller,Female,1996-09-05,Biology,2.18
1265,Amber,Nielsen,Female,2005-12-04,Biology,3.24
1266,Steven,Smith,Male,1999-04-03,Mathematics,2.99
1267,Bobby,Nelson,Female,1998-08-21,Computer Science,3.31
1268,Amy,Diaz,Male,2004-05-11,Physics,2.81
1269,Javier,Campbell,Male,1999-12-22,Physics,3.17
1270,Edward,Rose,Male,1991-11-07,Computer Science,2.66
1271,Mark,Williams,Female,2005-06-11,Computer Science,2.91
1272,Benjamin,Olson,Male,2003-09-09,Computer Science,2.82
1273,Linda,Gonzalez,Male,1990-11-20,Physics,3.11
1274,Steven,Ellison,Male,2005-04-18,Physics,2.71
1275,Keith,Holland,Male,1999-12-14,Biology,2.0
1276,Aaron,Garrett,Female,1995-05-29,Computer Science,2.79
1277,Catherine,Scott,Male,1997-09-05,Computer Science,2.0
1278,Joseph,Vargas,Male,2000-12-24,Computer Science,2.6
1279,Lindsay,Rios,Female,1996-01-28,Computer Science,2.78
1280,Aaron,Leon,Female,1991-01-24,Biology,2.21
1281,Lindsay,Garcia,Female,1990-07-04,Physics,4.0
1282,Debbie,James,Male,2002-03-30,Physics,3.0
1283,Lynn,Nelson,Female,1990-02-21,Physics,3.76
1284,Emily,Mitchell,Male,1999-08-16,Computer Science,2.66
1285,Jessica,Baker,Male,1998-10-19,Mathematics,3.68
1286,Anthony,Brock,Female,2005-04-09,Computer Science,2.58
1287,David,Burke,Female,2001-01-14,Computer Science,2.12
1288,Michael,Howell,Female,1998-10-08,Computer Science,2.59
1289,Kelly,Cruz,Male,1997-04-14,Physics,2.0
1290,Benjamin,Hamilton,Female,2004-02-14,Mathematics,2.41
1291,Ryan,Cooper,Male,1990-06-25,Physics,3.08
1292,Daniel,Myers,Male,1996-01-08,Physics,3.39
1293,Joseph,Fernandez,Female,1998-07-15,Computer Science,2.66
1294,John,Miller,Male,2001-05-15,Physics,3.87
1295,Dale,Neal,Female,2000-09-08,Computer Science,3.01
1296,Darryl,Anderson,Male,2005-10-04,Computer Science,3.87
1297,Joanne,Smith,Male,2001-06-17,Biology,3.03
1298,Andrew,Gregory,Female,1995-12-31,Computer Science,3.37
1299,Steven,Zavala,Female,1992-11-29,Physics,2.54
1300,Derek,Johnson,Male,1998-04-25,Mathematics,3.08
1301,William,Adams,Male,1991-08-01,Computer Science,2.54
1302,Sarah,Whitney,Male,1991-02-17,Computer Science,2.99
1303,Desiree,Johnson,Male,2001-01-13,Biology,2.5
1304,Robert,Scott,Female,1998-06-29,Physics,2.14
1305,Peter,Jennings,Female,1998-06-04,Computer Science,3.02
1306,Anthony,Miller,Male,1991-06-28,Mathematics,3.37
1307,Christy,Gray,Male,1996-03-20,Mathematics,3.74
1308,Phillip,Elliott,Female,2003-09-30,Mathematics,2.9
1309,Sara,Stevens,Female,1990-04-29,Biology,2.54
1310,Kayla,Holland,Female,1990-09-08,Biology,2.38
1311,Brandi,Torres,Female,1996-01-04,Biology,2.37
1312,Alexander,Anderson,Female,1993-09-22,Physics,2.8
1313,Katie,Chen,Female,2001-02-12,Biology,3.01
1314,Barbara,Anderson,Female,1997-06-30,Mathematics,2.0
1315,Ashley,Carter,Female,2001-11-11,Mathematics,3.47
1316,Andrew,Butler,Female,2002-09-07,Biology,3.18
1317,Amy,Hill,Female,2003-08-17,Biology,3.48
1318,Richard,Kim,Male,1993-07-24,Mathematics,2.3
1319,John,Rogers,Male,1991-01-23,Computer Science,2.69
1320,Charles,Brown,Female,2000-10-06,Biology,3.0
1321,Megan,Larson,Male,1990-11-10,Biology,2.64
1322,Linda,Simpson,Female,1999-06-19,Physics,2.38
1323,Todd,Sweeney,Female,2001-05-23,Mathematics,3.42
1324,John,Patterson,Male,1999-02-11,Biology,3.41
1325,Sandra,Sparks,Male,2001-11-19,Mathematics,2.71
1326,Angela,Robinson,Female,2004-04-23,Physics,2.94
1327,Christina,Mcdonald,Female,1997-10-25,Mathematics,2.73
1328,Alexander,Dawson,Female,2004-12-09,Computer Science,3.3
1329,Justin,Bonilla,Female,1996-04-26,Biology,2.07
1330,Nathan,Thompson,Female,1996-09-04,Biology,2.0
1331,Caitlyn,Campos,Male,1994-05-06,Computer Science,3.82
1332,Monica,Perez,Female,2000-07-21,Computer Science,2.42
1333,Brittany,Ingram,Female,2002-10-16,Mathematics,2.49
1334,Kelly,Wallace,Female,1998-03-15,Physics,3.07
1335,Benjamin,Jacobson,Female,2003-08-11,Mathematics,2.61
1336,Matthew,Johnson,Female,1996-02-04,Physics,2.73
1337,Sandra,Goodman,Female,1999-07-09,Physics,3.79
1338,Ana,Taylor,Female,2001-11-21,Computer Science,2.58
1339,James,Thomas,Female,2001-03-27,Mathematics,2.93
1340,Maria,Costa,Female,2001-11-27,Computer Science,3.21
1341,Julie,George,Female,2004-06-13,Mathematics,2.87
1342,Charles,James,Male,1992-03-14,Mathematics,2.75
1343,Rebecca,Smith,Female,2005-02-22,Physics,3.02
1344,Ivan,Cook,Male,2000-06-15,Computer Science,3.53
1345,Jacob,Valdez,Female,1993-07-28,Computer Science,3.32
1346,Regina,Perez,Male,2005-10-13,Mathematics,3.22
1347,April,Smith,Male,1995-10-30,Mathematics,2.66
1348,Michelle,Baker,Male,1997-06-11,Mathematics,3.81
1349,Amy,Morgan,Male,1998-05-08,Biology,2.59
1350,Maurice,Robinson,Female,1990-12-19,Biology,3.05
1351,Elizabeth,Weaver,Male,2000-06-26,Biology,3.53
1352,Amy,Brown,Male,1990-09-13,Physics,2.98
1353,Stephanie,Hines,Male,2002-06-12,Mathematics,3.21
1354,Kevin,Ramirez,Female,2000-09-29,Physics,3.66
1355,Theresa,Howard,Female,1999-06-20,Biology,2.0
1356,Steven,Robbins,Female,1998-10-16,Computer Science,3.16
1357,William,Henderson,Female,2000-08-01,Mathematics,2.74
1358,Brandon,Jones,Male,1993-03-20,Computer Science,2.66
1359,Christopher,Mcguire,Female,1991-06-23,Physics,3.56
1360,Cory,Edwards,Male,2000-08-02,Physics,2.12
1361,Joel,Molina,Male,1992-11-30,Biology,4.0
1362,Caitlin,Warner,Female,1992-05-31,Computer Science,3.5
1363,Dana,Gray,Female,2003-01-22,Mathematics,2.69
1364,Stacy,Gardner,Female,2000-10-02,Physics,3.21
1365,Laurie,Gamble,Male,1991-10-21,Biology,3.56
1366,Abigail,Thomas,Male,1999-07-07,Physics,3.41
1367,Mark,Sanchez,Male,1996-11-21,Physics,2.87
1368,Richard,Holloway,Female,2001-01-23,Physics,2.79
1369,Chad,Becker,Male,1999-11-27,Computer Science,2.87
1370,Mary,Cherry,Female,2005-07-31,Biology,2.0
1371,Rachel,Cisneros,Female,2005-06-30,Mathematics,3.81
1372,Krista,Hull,Female,1998-07-18,Physics,3.19
1373,Matthew,Buckley,Male,2002-10-19,Physics,2.41
1374,Erica,Long,Female,1999-01-10,Mathematics,3.62
1375,Mark,Rollins,Male,2005-03-28,Computer Science,3.03
1376,Elizabeth,Brown,Female,2002-02-13,Biology,2.99
1377,Samantha,Jenkins,Female,2004-05-07,Mathematics,3.4
1378,Lisa,Wallace,Male,1994-07-15,Computer Science,3.4
1379,Amy,Carr,Female,1993-03-04,Mathematics,4.0
1380,David,Hill,Male,2005-06-24,Biology,2.32
1381,Melissa,Jones,Male,1990-10-25,Biology,3.37
1382,Nicole,Blake,Female,2004-03-05,Mathematics,3.1
1383,Natalie,West,Female,1993-07-21,Computer Science,2.72
1384,Erin,Nichols,Female,1990-06-13,Physics,2.67
1385,Charles,Mann,Female,1991-05-02,Biology,2.98
1386,Walter,Crawford,Male,1991-10-28,Physics,3.5
1387,Stephanie,Wilson,Female,1998-02-01,Biology,3.61
1388,Daisy,Johnson,Female,1992-09-08,Computer Science,3.49
1389,Chase,Scott,Male,2001-05-25,Computer Science,2.05
1390,Tyler,Morales,Male,2005-02-20,Physics,2.64
1391,Paul,Mason,Male,1990-09-02,Mathematics,2.76
1392,Matthew,Fisher,Female,1994-12-09,Physics,3.62
1393,Alyssa,Clay,Male,2000-09-05,Computer Science,3.0
1394,Cheryl,Miranda,Male,1997-09-04,Physics,3.75
1395,Michael,Osborne,Female,1994-10-25,Biology,3.57
1396,Cassandra,Martin,Male,1996-04-11,Mathematics,2.16
1397,Brandon,Sanford,Male,1996-08-15,Biology,3.34
1398,Amanda,Crosby,Male,1995-03-27,Biology,2.91
1399,Sara,Fox,Female,2000-01-12,Biology,2.68
1400,Megan,Wilson,Female,2002-05-08,Physics,2.66
1401,Brandi,Clarke,Male,1997-09-12,Physics,3.49
1402,Antonio,Valentine,Male,1994-07-07,Computer Science,3.06
1403,Jonathan,Prince,Female,1992-03-03,Biology,4.0
1404,Amy,Pacheco,Female,2002-07-09,Computer Science,3.4
1405,Alice,Smith,Male,2005-07-24,Biology,2.77
1406,David,Perez,Male,1990-02-15,Mathematics,2.93
1407,Rodney,Barber,Male,1995-06-08,Mathematics,2.67
1408,Joel,Robinson,Male,2005-09-23,Computer Science,2.69
1409,Kenneth,Franklin,Female,1997-09-29,Physics,3.65
1410,Margaret,Franklin,Female,1995-12-25,Mathematics,3.46
1411,Joyce,Jackson,Female,1991-07-07,Computer Science,3.37
1412,Jeffrey,Daniels,Female,2000-05-29,Physics,2.83
1413,Christina,Bolton,Male,1998-05-07,Biology,3.97
1414,Laura,Lewis,Female,2004-02-04,Computer Science,2.09
1415,Jessica,Drake,Male,2004-04-03,Computer Science,2.78
1416,Ana,Bautista,Female,1993-11-21,Mathematics,2.88
1417,Ryan,Holmes,Female,1993-12-06,Physics,2.91
1418,Lynn,Lopez,Female,1993-02-11,Mathematics,2.56
1419,Raymond,Rush,Female,1996-08-22,Computer Science,2.93
1420,Ann,Walter,Male,1993-11-15,Computer Science,2.75
1421,Robert,Freeman,Male,1999-07-27,Mathematics,4.0
1422,Kimberly,Johnson,Female,1999-02-21,Physics,2.64
1423,Amy,Kelley,Female,1999-04-11,Biology,2.8
1424,Sarah,Allen,Male,1996-05-14,Biology,3.19
1425,Michael,Palmer,Female,1999-12-03,Computer Science,3.15
1426,Katherine,Arnold,Female,1990-04-24,Biology,2.66
1427,Julie,Green,Male,1993-07-06,Mathematics,2.0
1428,Sean,Buchanan,Male,1991-10-06,Computer Science,2.78
1429,Nicole,Mclaughlin,Male,1998-08-20,Computer Science,2.0
1430,Brandon,Lloyd,Male,1996-03-05,Computer Science,2.63
1431,Christine,Morrison,Male,1997-02-23,Physics,3.46
1432,Joseph,Walker,Female,2000-05-07,Mathematics,3.64
1433,John,Wilson,Female,2004-11-28,Mathematics,3.69
1434,Laura,Ryan,Female,1992-01-02,Biology,2.89
1435,Scott,Petersen,Female,1999-03-21,Biology,3.04
1436,Robert,Meyers,Female,1996-01-17,Computer Science,2.84
1437,Christie,Peters,Female,1992-02-24,Computer Science,2.51
1438,Meghan,Jackson,Female,2000-05-04,Physics,3.71
1439,Bryce,Cohen,Male,2002-09-21,Biology,2.83
1440,Michael,Ramirez,Male,1992-10-08,Physics,3.14
1441,Billy,Thomas,Female,1996-03-17,Computer Science,3.06
1442,Kimberly,Woodward,Male,2003-07-11,Computer Science,3.31
1443,Daniel,Thomas,Male,1998-12-18,Computer Science,3.67
1444,Randy,Wallace,Male,2002-01-25,Mathematics,2.6
1445,Michael,Underwood,Female,2000-11-13,Mathematics,2.72
1446,Amber,Guzman,Female,1998-11-01,Biology,2.66
